position_x_lambda,intensity_marked,intensity_erased
-169.62149,1.0,0.1364777309456208
-169.5238,1.0,0.1401694691257812
-169.42613,1.0,0.1445860810167373
-169.32845,1.0,0.14906003042408406
-169.23077,1.0,0.1532401641714678
-169.13309,1.0,0.15782247209802353
-169.03542,1.0,0.1617429638927746
-168.93773,1.0,0.16642665870668621
-168.84004,1.0,0.17079792076800046
-168.74237,1.0,0.17558452781929465
-168.64468,1.0,0.18042352477727738
-168.54701,1.0,0.1853141294111656
-168.44933,1.0,0.18987363531039816
-168.35165,1.0,0.19447581189884097
-168.25397,1.0,0.19950897809292292
-168.1563,1.0,0.2045906621513177
-168.05861,1.0,0.2089278385062646
-167.96092,1.0,0.2140969368546547
-167.86325,1.0,0.21890945530063435
-167.76556,1.0,0.22376061594729205
-167.6679,1.0,0.22864979301000135
-167.5702,1.0,0.23440104706283682
-167.47253,1.0,0.2389548622331234
-167.37485,1.0,0.24437544777823383
-167.27716,1.0,0.24983739377599304
-167.17949,1.0,0.25449066959033245
-167.0818,1.0,0.26045396685265765
-166.98413,1.0,0.26560116273912504
-166.88644,1.0,0.2712136881626032
-166.78877,1.0,0.27642731499831313
-166.69109,1.0,0.2816716835037931
-166.5934,1.0,0.28738709183099964
-166.49573,1.0,0.29225006416248
-166.39804,1.0,0.2984739420543774
-166.30037,1.0,0.3033906927521859
-166.20268,1.0,0.30968131448563907
-166.10501,1.0,0.3151016653615146
-166.00732,1.0,0.32100246238428165
-165.90965,1.0,0.32647508583222823
-165.81197,1.0,0.3324306781213413
-165.71428,1.0,0.3379522887720705
-165.61661,1.0,0.34395911717746724
-165.51892,1.0,0.34906164768622777
-165.42125,1.0,0.3546479879342466
-165.32356,1.0,0.361190605314429
-165.22589,1.0,0.36728930672528387
-165.1282,1.0,0.37293799076670425
-165.03052,1.0,0.3786041185545846
-164.93285,1.0,0.38428710341583755
-164.83516,1.0,0.3899860066735237
-164.73749,1.0,0.39665389831359643
-164.6398,1.0,0.4023846383641489
-164.54213,1.0,0.40860830114258107
-164.44444,1.0,0.41388612956980203
-164.34677,1.0,0.420136231748698
-164.24908,1.0,0.42639943629320853
-164.1514,1.0,0.43170847572866944
-164.05373,1.0,0.4379929960620155
-163.95604,1.0,0.44428748983784433
-163.85837,1.0,0.45010599618224445
-163.76068,1.0,0.45593134704599536
-163.66301,1.0,0.46224907307607793
-163.56532,1.0,0.4685730569524241
-163.46764,1.0,0.47441514755493036
-163.36996,1.0,0.48026087553057734
-163.27228,1.0,0.48708419642722345
-163.1746,1.0,0.49244736623286495
-163.07692,1.0,0.4982991173855406
-162.97925,1.0,0.5051264667707189
-162.88156,1.0,0.5109779050310815
-162.78389,1.0,0.5168278179414173
-162.6862,1.0,0.5231628312718032
-162.58852,1.0,0.5285203690158075
-162.49084,1.0,0.5353343422545972
-162.39316,1.0,0.5411696274492918
-162.29549,1.0,0.5469995152515839
-162.1978,1.0,0.5533079718468884
-162.10013,1.0,0.5586393439712026
-162.00244,1.0,0.5654149487900885
-161.90475,1.0,0.5716956753041372
-161.80708,1.0,0.5774832053095322
-161.7094,1.0,0.5832600969762791
-161.61172,1.0,0.5890257636312904
-161.51404,1.0,0.5952581091714134
-161.41637,1.0,0.6009974928721176
-161.31868,1.0,0.6071996834155575
-161.22101,1.0,0.6129094987926659
